SN,Village,Gender,R_2_HH,HH_Size,Age,Ethnicity,Decisions,P_Decisions,Education,Experience,Owning_Livestock,Livestock_No,Livestock_value,Fodder_Exp,Veterinary_Exp,Enclosure_Exp,Hired_Lbr_Exp,Revenue,Land_Own,Land_Size,Land_Use,Cattle,Sheep,Chicken,Pigs,Dairy_Cattle,Dairy_Cattle_No,Grazing_location,Transport2Grazing,Travel_Time,Aquire_Grazig,Grazing_land_source,Grazing_land_purchase_cost,Rent_previous_season,Rented_years,LeasedGrazingExternal,Land_rent_income,Estmtd_rental_income,LandMoistureLevel,Land_fertility,GrazingWaterSource,irrigation_sources,Vet_distance_avg,Distance_to_village,OwnRadio,OwnTelevision,OwnPhone,OwnTransport,Men_labour_days,Men_labour_hours_per_day,Men_labour_workers_avg,men_labour_wage_per_day,Women_labour_days,Women_labour_hours_per_day,Women_labour_workers_avg,Women_labour_wage_per_day,Men_family_labour_days,Men_family_labour_hours_per_day,Men_family_labour_workers,Women_family_labour_days,Women_family_labour_hours_per_da,Women_family_labour_workers,Child_labour_days,Child_labour_hours_per_day,Child_labour_workers_avg,Herd_size,Rope_Qty,Feeds_Qty,Herd_Size_Exp,Rope_Exp,Cattle_feeds_exp,concentratesQty,Dairy_drugs_Qty,Improved_Breed_No,Dairy_Concrete_Exp,Dairy_Drug_Exp,Improved_breed_Exp,Hired_Labour_Exp,Production_Tools_Exp,Technology_Adoption,Cowshed_Type,Breeding_Type,Vet_Treatment_Adoption,Cleaning_activities,Vaccination_Adoption,Feed_Technology,Improved_herd_mngmt_desire,Herd_Mngmnt_Type,Information_Access,Information_Source,Extension_Participation,Extension_Type,Attitude_towards_technology,Technology_Ease_of_Use,Dairy_Technologies_Usefullness,Technology_Perceived_Cost,Leading_Companies_Favour,Important_People_Favour,Contractor_Favour,Intention_To_Adopt,Information_seeking_frequency,Decision_making_ability,Gvt_Ext_Office,Contractor,Input_Suplier,Farmer_Orgnztn,NGO,Agri_Agent_Cmnction,Info_Received,Adherence_to_advice,Land_use_advice,Planting_advice,Seed_use_advice,Fertilizer_advice,Other_advice,Extension_Exp,Milk_per_day,Milk_Days,Sold_Milk,Milk_Price,Milk_Buyer,Quality_Determiner,Home_Milk,Manure_Obtained,Sold_Manure,Manure_Price,milkproductivity,Total_Milk,Food_Exp,Meals_Per_Day,Hungry_Season_Duration,Food_Insecurity_Status,ContractFarming,YearsInContractFarming,Input_access,Market_access,Credit_access,Extension_services,Contract_Type,Copy_of_Contract,Contract_Formulation,AcresUnderContractFarming,Milk_Sale_Price,Amount_Produced,Livestock_Keeping_Area,Quality_of_Milk,Date_of_Milking,Inputs_to_be_Used,Contractor_Compliance,Contractor_Non_Compliance,Respondent_Compliance,Farmer_Non_compliance,Negotiations,Mediation,Reconciliation,Arbitration,Participation_Criteria,Private_companies,International_organizations,Local_Government_Authority,Individuals,contractors,Financial_Institution,Institution_Roles,Continue_Contract_Farming,Pay_For_Contract_Farming,Willing_To_Pay_Amount,Farmers_group,Group_size,Group_Experience,Market_System,Milk_Sale,Off_Farm_Work,Off_Farm_Work_Days,Employed_By,Received_Payment,Reason_4_Pay,Duration_4_Pay,Payment,Cultivate_Crop,Crop_Land,Maize,Beans,Sun_Flower,Crop_Production_Costs,Maize_Harvest,Beans_Haverst,Sun_Flower_Harvest,Maize_Consumption,Beans_Consumption,Sun_Flower_Consumption,Maize_Commercial,Beans_Commercial,Sun_Flower_Commercial,Maize_Revenue,Beans_Revenue,Sun_Flower_Revenue,Business_Operation,Business_Duration,Business_Type,Busiess_Cost,Business_Revenue,Availability_Dry_Fodder,Availability_Green_Fodder,Availability_Concentrates,Availability_Grazing_Land,Availability_Hired_labour,Availability_Vet_Treatment,Availability_AI,Availability_Vaccination,Availability_Rental_Land,Availability_Purchase_Land,Availability_Production_Tools,Liquidity_Dry_Fodder,Liquidity_Green_Fodder,LIquidity_Concentrates,Liquidity_Grazing_Land,Liquidity_Hired_labour,Liquidity_Vet_Treatment,Liquidity_AI,Liquidity_Vaccination,Liquidity_Rental_Land,Liquidity_Purchase_Land,Liquidity_Production_Tools,Risk_Tolerance,New_Breed_Adoption,Breed_Type,veterinary,milk_produced,Total_Milk_w,edu,lnage,lnexperience,Veterinary_Exp_w,Cattle_feeds_exp_w,lncatfeed_exp,lnVeterinary_Exp,extension1,extension,Distance_to_Town,Dairy_Cattle_No_w,AI,Vet_services,both,Hiredlbr_new,Vaccination_Adoption_01,HH_Size_w,Dairy_Concrete_Exp_w,production_tools,hiredlbr,Gender_1,Gender_2,Education_1,Education_2,Education_3,Education_4,OwnTelevision_1,OwnTelevision_2,AI_1,AI_2,Risk_Tolerance_1,Risk_Tolerance_2,Risk_Tolerance_3,extension_1,extension_2,Farmers_group_1,Farmers_group_2,ContractFarming_1,ContractFarming_2,Liquidity_Vet_Treatment_1,Liquidity_Vet_Treatment_2,Liquidity_Vet_Treatment_3,Liquidity_Vaccination1,Liquidity_Vaccination2,lnqtyfeeds,lnqtyconcrete,Land_fertility_1,Land_fertility_2,Decision_making_ability_1,Decision_making_ability_2,Decision_making_ability_3,Off_Farm_Work_1,Off_Farm_Work_2,Business_Operation_1,Business_Operation_2,vet_services,Information_seeking_frequency1,Information_seeking_frequency2,Information_seeking_frequency3,Liquidity_Vet_Treatment1,Liquidity_Vet_Treatment2,Liquidity_Vet_Treatment3,both1,both2,both3,Feeds_Qty_01,lnfeed,lnfeed1,Fodder_Exp_01,lnfodder,vetexp,vetvisits,Adherence,ATT,ATU
47,ashira,Female,Spouse,4,76,Chagga,HH & HM,Yes,Primary school,33,Yes,2,1400000,0,0,,,,Yes,2.5,Animal keeping,Yes,Yes,Yes,,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,Yes,River/stream,,43.5,Yes,No,Yes,No,,,,,,,,,30,2,1,30,3,1,,,,2,2,200,0,0,0,2,,0,12000,0,0,,7000,No,,Natural,No,Regular cleaning,No,Traditional,No,Define calving season,No,,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,,,,,Never,Medium,,No,No,,,,,,,,,,,,1.5,30,,,,,540,130,No,,540,540,800000,Three meals,0,Not food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,.5,Yes,Yes,,50000,2,.25,,Yes,Yes,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,No constraints,Somewhat constrained,No constraints,Somewhat constrained,No constraints,Severely constrained,No constraints,Slightly constrained,Somewhat constrained,Severely constrained,Slightly constrained,No constraints,Severely constrained,No constraints,Risk seeking,Agree,Local Breed,0,0,540,Primary education,4.3307333,3.4965076,0,0,,,No,No,43.5,1,No,No,non,0,No,4,12000,Yes,No,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,5.2983174,.69314718,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,300,5.7037826,5.7037826,100000,11.512925,0,0,Strongly disagree,1580.6758,624.98053
48,ashira,Female,Spouse,5,47,Maasai,HH & HM,Yes,Post secondary education,13,Yes,3,2400000,640000,91000,,720000,4504000,Yes,1.5,Animal keeping,Yes,,Yes,,Yes,3,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,Yes,Yes,No,30,4,1,2000,,,,,,,,20,2,1,,,,4,5,1344,0,5000,432000,24,,2,144000,41000,50000,720000,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,Yes,keep cattle health,Yes,Other entrepreneurs,Yes,Training programs,Wise,Substantial restructuring,Advantageous,Yes,Yes,Yes,Yes,Would adopt,Frequent,High,,Yes,No,,,Several times per month,Dairy production,Always exactly,,,,,,0,21,30,4560,900,Contractor,Buyer,480,150,No,,1680,5040,1400000,Three meals,0,Not food insecure,Yes,5,,Yes,,,Verbal,,No,,,Yes,Yes,,,,No,Did not accept quality,Yes,,Yes,,,,Residence,Yes,,,,,,Market information,Yes,No,,No,,,Yes,Contractors,Yes,181,Central government,Yes,,Per month,780000,No,,,,,,,,,,,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Slightly constrained,No constraints,Slightly constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk seeking,Agree,Improved Breed,1,0,5040,Secondary & above education,3.8501475,2.5649493,82000,432000,12.976181,11.314474,Yes,Yes,42,3,Yes,Yes,both,720000,Yes,5,144000,No,Yes,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,7.2034054,3.1780539,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1344,7.2034054,7.2034054,640000,13.369224,13666.667,2,Neutral,4145.6396,4350.9541
49,ashira,Female,Head,3,45,Chagga,HH & HM,Yes,Post secondary education,9,Yes,2,1400000,340000,52000,,,1824000,Yes,.75,Animal keeping,Yes,,,,Yes,2,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,43,Yes,Yes,Yes,Yes,,,,,,,,,30,2,1,30,3,1,,,,2,2,560,0,0,360000,16,,1,96000,27000,25000,,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,Yes,Implement crossbreeding,Yes,Veterinary doctors,Yes,Training programs,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Frequent,High,,Yes,No,,,Several times per month,Dairy production,Always exactly,,,,,,0,11,30,2280,800,Contractor,Buyer,360,90,No,,1320,2640,1200000,Three meals,0,Not food insecure,Yes,4,,Yes,,,Verbal,,No,,,Yes,Yes,,,,Yes,,Yes,,Yes,,,,Residence,,,,Yes,,,Market information,Yes,No,,Yes,4,Four years,Yes,Contractors,Yes,84,Private sector,Yes,,Per day,40000,No,,,,,,,,,,,,,,,,,,Yes,9,6,2700000,4700000,Slightly constrained,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,Slightly constrained,Somewhat constrained,No constraints,Severely constrained,No constraints,Slightly constrained,Somewhat constrained,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk seeking,Agree,Improved Breed,1,0,2640,Secondary & above education,3.8066626,2.1972246,52000,360000,12.793859,10.858999,Yes,Yes,43,2,Yes,Yes,both,0,Yes,3,96000,No,No,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,6.3279366,2.7725887,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1250,7.130899,7.130899,340000,12.736701,13500,2,Neutral,3101.4907,2827.7749
50,ashira,Male,Head,5,49,Chagga,HH & HM,Yes,Post secondary education,24,Yes,3,2500000,600000,86000,,600000,,Yes,2,Animal keeping,Yes,,,Yes,Yes,2,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,Yes,River/stream,,43.5,Yes,Yes,Yes,No,30,4,1,1666,,,,,,,,30,3,1,,,,3,3,1075,0,5000,345600,12,,2,72000,36000,50000,600000,16000,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,Yes,keep cattle health,Yes,Other entrepreneurs,Yes,Training programs,Wise,Large effort in training/advice,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Frequent,High,,Yes,No,,,Several times per month,Dairy production,Always exactly,,,,,,0,18,30,3960,900,Contractor,Buyer,360,155,No,,2160,4320,1400000,Three meals,0,Not food insecure,Yes,5,,Yes,,,Verbal,,No,,,Yes,Yes,,,,No,Did not accept quality,Yes,,Yes,,Yes,,Residence,,,,Yes,,,Market information,Yes,No,,No,,,Yes,Contractors,Yes,80,Private sector,Yes,,Per day,35000,Yes,.25,Yes,Yes,,120000,1.25,.25,,Yes,Yes,,,,,,,,No,,,,,No constraints,No constraints,No constraints,Severely constrained,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,No constraints,Slightly constrained,Slightly constrained,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk seeking,Agree,Improved Breed,1,0,4320,Secondary & above education,3.8918202,3.1780539,82000,345600,12.753037,11.314474,Yes,Yes,43.5,2,Yes,Yes,both,600000,Yes,5,72000,Yes,Yes,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,6.9800758,2.4849067,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1300,7.1701198,7.1701198,600000,13.304685,18000,2,Neutral,4403.1572,3265.1487
51,lyasongoro,Male,Head,4,47,Chagga,HH & HM,Yes,Primary school,17,Yes,3,2000000,480000,40000,,720000,3264000,Yes,1,Animal keeping,Yes,No,Yes,No,Yes,3,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,49,Yes,Yes,Yes,Yes,30,4,1,2000,,,,,,,,20,2,1,,,,2,5,1680,0,10000,720000,42,,2,42000,20000,20000,720000,20000,Yes,,Artificial insemination,No,Regular cleaning,Yes,Traditional,Yes,Implement crossbreeding,Yes,Veterinary doctors,Yes,Training programs,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Frequent,High,No,No,Yes,No,No,Once per month,Dairy production,Mostly,,,,,,0,20,30,4080,800,Contractor,Buyer,720,120,No,,1600,4800,1800000,Three meals,0,Low food insecure,Yes,5,No,Yes,No,No,Verbal,,No,,No,Yes,No,Yes,No,No,Yes,,Yes,,Yes,No,Yes,No,Residence,Yes,No,No,No,No,No,Provision of extension services,Yes,No,,No,,,Yes,Contractors,Yes,187,Central government,Yes,,Per month,,No,,,,,,,,,,,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,Somewhat constrained,Severely constrained,No constraints,Severely constrained,Slightly constrained,Somewhat constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,Somewhat constrained,Severely constrained,No constraints,Risk seeking,Agree,Improved Breed,1,0,4800,Secondary & above education,3.8501475,2.8332133,40000,555000,13.226724,10.596635,Yes,Yes,44,3,Yes,No,either,720000,Yes,4,42000,Yes,Yes,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,7.426549,3.7376697,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1680,7.426549,7.426549,480000,13.081541,6666.6665,1,Disagree,8077.2432,4974.2437
52,lyasongoro,Female,Spouse,3,64,Chagga,HH & HM,Yes,Primary school,29,Yes,1,600000,0,0,,,288000,Yes,.75,Animal keeping,Yes,No,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,49,Yes,No,Yes,No,,,,,,,,,,,,30,4,1,,,,1,1,136,0,2500,60000,4,,0,24000,0,0,0,No,No,,Natural,No,Regular cleaning,No,Traditional,No,Define calving season,No,,No,,Acceptable,,Advantageous,Yes,,,,,Never,Medium,No,No,Yes,No,No,Several times per month,Dairy production,Sometimes,,,,,,0,2,30,240,1200,Neighbour,Seller,240,60,No,,480,480,800000,Three meals,0,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,.75,Yes,Yes,No,250000,4,.5,,Yes,Yes,,Yes,,,90000,,,No,,,,,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Somewhat constrained,No constraints,No constraints,Severely constrained,Somewhat constrained,Somewhat constrained,Somewhat constrained,Slightly constrained,Severely constrained,Severely constrained,Slightly constrained,Risk averse,Strongly disagree,Local Breed,0,0,480,Primary education,4.1588831,3.3672957,0,60000,11.0021,,Yes,Yes,44,1,No,No,non,0,No,3,24000,No,No,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,4.9126549,1.3862944,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,136,4.9126549,4.9126549,85000,11.350407,0,0,Strongly disagree,743.03357,453.26923
53,lyasongoro,Female,Spouse,4,37,Chagga,HH + Advice from HM,Yes,Advanced secondary school,7,Yes,2,1100000,240000,30000,,600000,3308000,Yes,1.5,Animal keeping,Yes,No,No,Yes,Yes,2,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,More fertile,No,,,48,Yes,Yes,Yes,No,30,4,1,1666,,,,,15,2,1,30,3,1,,,,3,5,630,0,20000,270000,198,,2,243000,10000,20000,,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,Yes,keep cattle health,Yes,Veterinary doctors,Yes,Training programs,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Frequent,Medium,No,Yes,Yes,No,No,Several times per month,Dairy production,Always exactly,,,,,,0,16,30,3510,800,Contractor,Buyer,810,120,No,,2160,4320,1500000,Three meals,0,Low food insecure,Yes,3,No,Yes,No,No,Verbal,,No,,No,Yes,No,No,No,No,Yes,,Yes,,Yes,No,Yes,No,Residence,No,No,No,Yes,No,No,Market information,Yes,No,,No,,,Yes,Contractors,No,,,,,,,Yes,1,Yes,Yes,No,470000,7,1,,Yes,Yes,,Yes,Yes,,360000,100000,,No,,,,,Slightly constrained,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,No constraints,Risk neutral,Agree,Improved Breed,1,0,4320,Secondary & above education,3.6109178,1.9459101,30000,270000,12.506177,10.308952,Yes,Yes,44,2,Yes,Yes,both,600000,Yes,4,243000,No,Yes,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,6.4457197,5.2882671,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1340,7.2004247,7.2004247,240000,12.388394,5000,1,Disagree,4032.6116,4271.564
54,lyasongoro,Female,Head,3,65,Chagga,HH,Yes,Primary school,25,Yes,2,1200000,120000,20000,,600000,504000,Yes,.5,Animal keeping,Yes,No,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,More fertile,No,,,48,Yes,Yes,Yes,No,30,4,1,1666,,,,,,,,25,2,1,,,,1,2,245,0,5000,105000,63,,1,84000,0,20000,600000,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,No,Implement crossbreeding,Yes,Veterinary doctors,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,,Would adopt,Less Frequent,Medium,No,Yes,Yes,No,No,Once per week,Dairy production,Sometimes,,,,,,0,4.5,30,630,800,Contractor,Buyer,315,60,No,,1370,1370,1000000,Three meals,0,Low food insecure,Yes,2,No,Yes,No,No,Verbal,,No,,Yes,No,Yes,No,No,No,Yes,,Yes,,Yes,No,No,No,Residence,No,No,No,Yes,No,No,Market information,Yes,No,,No,,,Yes,Contractors,No,,,,,,,Yes,.5,Yes,No,No,75000,1.5,,,Yes,,,,,,,,,No,,,,,Somewhat constrained,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,Somewhat constrained,Severely constrained,Slightly constrained,Severely constrained,No constraints,Slightly constrained,Severely constrained,Somewhat constrained,No constraints,No constraints,No constraints,Somewhat constrained,Severely constrained,Slightly constrained,Risk neutral,Agree,Improved Breed,1,0,945,Primary education,4.1743875,3.2188759,20000,105000,11.561716,9.9034872,Yes,Yes,44,1,Yes,Yes,both,600000,Yes,3,84000,No,Yes,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,5.5012584,4.1431346,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,456,6.1224928,6.1224928,120000,11.695247,0,0,Strongly disagree,1888.6951,1486.1522
55,lyasongoro,Male,Head,3,51,Chagga,HH,Yes,Ordinary secondary school,17,Yes,2,1500000,240000,30000,,720000,2688000,Yes,1,Animal keeping,Yes,No,No,Yes,Yes,2,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,48.5,Yes,Yes,Yes,No,,,,,,,,,30,4,1,,,,,,,2,4,840,0,10000,360000,252,,2,252000,20000,0,,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,Yes,keep cattle health,Yes,Veterinary doctors,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Less Frequent,Medium,No,Yes,No,No,No,Several times per month,Dairy production,Mostly,,,,,,0,14,30,2880,800,Contractor,Buyer,480,105,No,,1680,3360,1000000,Three meals,0,Low food insecure,Yes,2.5,No,Yes,No,No,Verbal,,No,,No,Yes,No,No,No,No,Yes,,Yes,,No,No,Yes,No,Residence,No,No,No,Yes,No,No,Market information,Yes,No,,No,,,Yes,Contractors,No,,,,,,,Yes,1,Yes,Yes,Yes,600000,8,1.3,1,Yes,Yes,Yes,Yes,Yes,No,450000,100000,,No,,,,,Somewhat constrained,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,Somewhat constrained,No constraints,Severely constrained,No constraints,Somewhat constrained,Severely constrained,Slightly constrained,Slightly constrained,No constraints,No constraints,Somewhat constrained,Severely constrained,No constraints,Risk neutral,Agree,Improved Breed,1,0,3360,Secondary & above education,3.9318256,2.8332133,30000,360000,12.793859,10.308952,Yes,Yes,44,2,Yes,Yes,both,720000,Yes,3,252000,No,Yes,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,6.7334018,5.529429,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1300,7.1701198,7.1701198,240000,12.388394,15000,2,Neutral,4391.9746,4578.8115
56,lyasongoro,Female,Spouse,5,57,Chagga,HH & HM,Yes,Primary school,17,Yes,1,850000,140000,34000,,720000,1728000,Yes,1.5,Animal keeping,Yes,Yes,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,Yes,Yes,No,30,4,1,2000,,,,,,,,30,3,1,,,,1,1,840,0,0,360000,58,,1,82000,9000,25000,720000,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,No,Implement crossbreeding,Yes,Veterinary doctors,No,,Acceptable,Substantial restructuring,Improve profitability,Yes,,,,,Less Frequent,Medium,No,Yes,Yes,No,No,Once per year,Dairy production,Mostly,,,,,,0,6,30,1440,1200,Neighbour,Seller,720,64,No,,2160,2160,1300000,Three meals,0,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,.75,Yes,Yes,No,270000,4,.6,,Yes,Yes,,Yes,No,,90000,,,No,,,,,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,Slightly constrained,Somewhat constrained,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Risk neutral,Agree,Improved Breed,1,0,2160,Primary education,4.0430512,2.8332133,34000,360000,12.793859,10.434115,Yes,Yes,42,1,Yes,Yes,both,720000,Yes,5,82000,No,Yes,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,6.7334018,4.0604429,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1400,7.2442274,7.2442274,140000,11.849398,9000,1,Disagree,2743.3164,2588.4543
57,lyasongoro,Female,Spouse,4,29,Pare,HH & HM,Yes,Ordinary secondary school,14,Yes,2,1400000,0,25000,,,1080000,Yes,3,Animal keeping,Yes,No,No,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,43,Yes,Yes,Yes,No,,,,,,,,,,,,30,2,1,30,3,1,2,2,840,0,5000,360000,132,,1,162000,20000,0,,15000,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,Yes,Implement crossbreeding,Yes,Veterinary doctors,No,Demonstrations,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Less Frequent,Medium,No,Yes,Yes,No,No,Several times per month,Dairy production,Mostly,,,,,,0,6,30,1350,800,Contractor,Buyer,270,69,No,,1620,1620,1300000,Three meals,0,Moderate food insecure,Yes,3,No,Yes,No,No,Verbal,,No,,Yes,No,No,No,No,No,Yes,,Yes,,No,No,Yes,No,Residence,No,No,No,Yes,No,No,Market information,Yes,No,,No,,,Yes,Contractors,No,,,,,,,Yes,.25,Yes,Yes,No,100000,2,.2,,Yes,Yes,,,,,,,,No,,,,,Somewhat constrained,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,Severely constrained,Slightly constrained,Slightly constrained,Severely constrained,Slightly constrained,Slightly constrained,No constraints,No constraints,Severely constrained,Severely constrained,Slightly constrained,Risk averse,Strongly disagree,Improved Breed,1,0,1620,Secondary & above education,3.8918202,2.6390574,25000,360000,12.793859,10.126631,Yes,Yes,43,1,Yes,Yes,both,0,Yes,4,162000,Yes,No,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,6.7334018,4.882802,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1100,7.0030656,7.0030656,250000,12.429216,25000,3,Agree,3292.543,2369.8604
58,lyasongoro,Male,Child,5,49,Chagga,HH + Advice from HM,Yes,Primary school,6,Yes,1,800000,0,17000,,,672000,Yes,1.25,Animal keeping,Yes,No,Yes,No,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,More fertile,No,,,43,Yes,Yes,Yes,Yes,,,,,,,,,,,,30,3,1,25,4,1,1,1,490,0,5000,218000,77,,1,147000,20000,0,,No,Yes,,Artificial insemination,No,Regular cleaning,Yes,Traditional,No,keep cattle health,Yes,Relatives,No,Demonstrations,Acceptable,Substantial restructuring,Advantageous,Yes,Yes,Yes,Yes,Would adopt,Less Frequent,Medium,No,Yes,Yes,No,No,Once per month,Dairy production,Always exactly,,,,,,0,5,30,840,800,Contractor,Buyer,210,60,No,,1060,1060,1100000,Three meals,0,Moderate food insecure,Yes,2,No,Yes,No,No,Verbal,,No,,Yes,No,Yes,Yes,No,No,Yes,,Yes,,No,No,Yes,No,Residence,No,No,No,Yes,No,No,Market information,Yes,No,,No,,,Yes,Contractors,Yes,173,Central government,No,Volunteer,,,Yes,1,Yes,Yes,No,375000,4,.5,,Yes,Yes,,,,,,,,Yes,12,Small business (shop),600000,1300000,Somewhat constrained,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,Severely constrained,No constraints,Somewhat constrained,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,Slightly constrained,Risk neutral,Disagree,Local Breed,1,0,1060,Secondary & above education,3.3672957,1.7917595,17000,218000,12.292251,9.7409687,Yes,Yes,43,1,Yes,No,either,0,Yes,5,147000,No,No,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,6.1944056,4.3438053,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,700,6.5510802,6.5510802,270000,12.506177,17000,2,Neutral,1993.1736,1588.9567
